@Version:0.9.1
@SampleID:gsa

@@SEQUENCEID	BINID	TAXID	_LENGTH
RH|P|C15089	1286_CO	351343	15504
RH|P|C18302	1286_CO	351343	98546
RH|P|C406	1286_CO	351343	761
RH|P|C30217	1286_CO	351343	29469
RH|P|C9994	1286_CO	351343	56206
RH|P|C9958	1286_CO	351343	75794
RH|P|C16589	1286_CO	351343	49114
RH|P|C1560	1286_CO	351343	69199
RH|P|C7308	1286_CO	351343	40046
RH|P|C6529	1286_CO	351343	19723
RH|P|C5059	1286_CO	351343	14043
RH|P|C16743	1286_CO	351343	13611
RH|P|C25012	1286_CO	351343	9032
RH|P|C22469	1286_CO	351343	29132
RH|P|C5183	1286_CO	351343	14367
RH|P|C34757	1286_CO	351343	6968
RH|P|C35579	1286_CO	351343	18915
RH|P|C33251	1286_CO	351343	69006
RH|P|C20675	1286_CO	351343	68909
RH|P|C7379	1286_CO	351343	58458
RH|P|C14105	1286_CO	351343	41759
RH|P|C38096	1286_CO	351343	14495
RH|P|C28492	1286_CO	351343	46966
RH|P|C23419	1286_CO	351343	51468
RH|P|C33774	1286_CO	351343	7760
RH|P|C28045	1286_CO	351343	12811
RH|P|C23580	1286_CO	351343	39278
RH|P|C13539	1286_CO	351343	6962
RH|P|C7567	1286_CO	351343	6870
RH|P|C21225	1286_CO	351343	6211
RH|P|C14303	1286_CO	351343	2965
RH|P|C23353	1286_CO	351343	2723
RH|P|C6978	1286_CO	351343	2457
RH|P|C29907	1286_CO	351343	977
RH|P|C38994	Sample16_335	32644	5630
RH|P|C41229	Sample6_171	45202	18059
RH|P|C20966	1285_C	33886	1279
RH|P|C488	1285_C	33886	11713
RH|P|C17640	1285_C	33886	535
RH|P|C30438	1285_C	33886	11121
RH|P|C38519	1285_C	33886	10894
RH|P|C33979	1285_C	33886	66738
RH|P|C11352	1285_C	33886	26374
RH|P|C37864	1285_C	33886	305
RH|P|C28997	1285_C	33886	246
RH|P|C27879	1285_C	33886	17941
RH|P|C10912	1285_C	33886	21773
RH|P|C12676	1285_C	33886	7350
RH|P|C33388	1285_C	33886	26686
RH|P|C1935	1285_C	33886	9145
RH|P|C7912	1285_C	33886	2041
RH|P|C574	1285_C	33886	9949
RH|P|C6128	1285_C	33886	3369
RH|P|C14975	1285_C	33886	47997
RH|P|C9523	1285_C	33886	14271
RH|P|C26644	1285_C	33886	7094
RH|P|C37240	1285_C	33886	10263
RH|P|C27145	1285_C	33886	313
RH|P|C36810	1285_C	33886	13828
RH|P|C34891	1285_C	33886	29487
RH|P|C26203	1285_C	33886	10805
RH|P|C28788	1285_C	33886	7134
RH|P|C8400	1285_C	33886	3785
RH|P|C30630	1285_C	33886	23698
RH|P|C22162	1285_C	33886	5359
RH|P|C18079	1285_C	33886	2376
RH|P|C23800	1285_C	33886	3617
RH|P|C5635	1285_C	33886	8936
RH|P|C13969	1285_C	33886	2358
RH|P|C10365	1285_C	33886	22219
RH|P|C32361	1285_C	33886	2583
RH|P|C17196	1285_C	33886	8641
RH|P|C31406	1285_C	33886	37377
RH|P|C14868	1285_C	33886	6843
RH|P|C6139	1285_C	33886	5474
RH|P|C2702	1285_C	33886	19953
RH|P|C31111	1285_C	33886	3399
RH|P|C21235	1285_C	33886	38032
RH|P|C19633	1285_C	33886	17989
RH|P|C33657	1285_C	33886	21342
RH|P|C35767	1285_C	33886	1656
RH|P|C25019	1285_C	33886	21764
RH|P|C6530	1285_C	33886	2696
RH|P|C10039	1285_C	33886	10569
RH|P|C10452	1285_C	33886	9888
RH|P|C14209	1285_C	33886	12858
RH|P|C3917	1285_C	33886	7162
RH|P|C25995	1285_C	33886	17662
RH|P|C7524	1285_C	33886	15015
RH|P|C37748	1285_C	33886	4304
RH|P|C39281	1285_C	33886	35208
RH|P|C38996	1285_C	33886	6132
RH|P|C6117	1285_C	33886	537
RH|P|C32431	1285_C	33886	13958
RH|P|C9825	1285_C	33886	33196
RH|P|C17995	1285_C	33886	27246
RH|P|C17462	1285_C	33886	11677
RH|P|C25109	1285_C	33886	22565
RH|P|C26508	1285_C	33886	32881
RH|P|C36801	1285_C	33886	1142
RH|P|C38134	1285_C	33886	10450
RH|P|C38172	1285_C	33886	1595
RH|P|C10292	1285_C	33886	4123
RH|P|C35995	1285_C	33886	9415
RH|P|C22751	1285_C	33886	6305
RH|P|C36120	1285_C	33886	31196
RH|P|C8123	1285_C	33886	2221
RH|P|C21058	1285_C	33886	1298
RH|P|C32534	1285_C	33886	5094
RH|P|C27113	1285_C	33886	4101
RH|P|C3047	1285_C	33886	16005
RH|P|C20443	1285_C	33886	2722
RH|P|C6932	1285_C	33886	2650
RH|P|C25430	1285_C	33886	1700
RH|P|C11959	1285_C	33886	12953
RH|P|C15163	1285_C	33886	4143
RH|P|C31300	1285_C	33886	45745
RH|P|C8890	1285_C	33886	2108
RH|P|C38639	1285_C	33886	19993
RH|P|C34921	1285_C	33886	14932
RH|P|C6480	1285_C	33886	824
RH|P|C19006	1285_C	33886	2309
RH|P|C9951	1285_C	33886	7761
RH|P|C2104	1285_C	33886	9180
RH|P|C6632	1285_C	33886	5505
RH|P|C28590	1285_C	33886	6139
RH|P|C8105	1285_C	33886	10687
RH|P|C25236	1285_C	33886	13240
RH|P|C7324	1285_C	33886	5054
RH|P|C521	1285_C	33886	11589
RH|P|C32334	1285_C	33886	6335
RH|P|C12594	1285_C	33886	1959
RH|P|C33900	1285_C	33886	2132
RH|P|C12778	1285_C	33886	3652
RH|P|C1343	1285_C	33886	14123
RH|P|C22911	1285_C	33886	6861
RH|P|C2136	1285_C	33886	15985
RH|P|C23941	1285_C	33886	20174
RH|P|C25219	1285_C	33886	5198
RH|P|C32	1285_C	33886	5264
RH|P|C34427	1285_C	33886	10406
RH|P|C16753	1285_C	33886	31156
RH|P|C10174	1285_C	33886	2537
RH|P|C8083	1285_C	33886	3454
RH|P|C18443	1285_C	33886	51895
RH|P|C13193	1285_C	33886	1446
RH|P|C39464	1285_C	33886	304
RH|P|C1090	1285_C	33886	11352
RH|P|C25221	1285_C	33886	1419
RH|P|C6791	1285_C	33886	11209
RH|P|C33544	1285_C	33886	8190
RH|P|C18668	1285_C	33886	10483
RH|P|C2326	1285_C	33886	7111
RH|P|C6319	1285_C	33886	2043
RH|P|C31546	1285_C	33886	1702
RH|P|C37172	1285_C	33886	8635
RH|P|C13172	1285_C	33886	22372
RH|P|C12570	1285_C	33886	18717
RH|P|C13669	1285_C	33886	2095
RH|P|C30483	1285_C	33886	22780
RH|P|C36459	1285_C	33886	2901
RH|P|C22786	1285_C	33886	7705
RH|P|C20045	1285_C	33886	11923
RH|P|C15736	1285_C	33886	32658
RH|P|C34177	1285_C	33886	6779
RH|P|C24530	1285_C	33886	5954
RH|P|C28597	1285_C	33886	484
RH|P|C16151	1285_C	33886	5578
RH|P|C8275	1285_C	33886	20601
RH|P|C33643	1285_C	33886	4578
RH|P|C17116	1285_C	33886	19129
RH|P|C35847	1285_C	33886	26372
RH|P|C3568	1285_C	33886	7329
RH|P|C24229	1285_C	33886	12064
RH|P|C36912	1285_C	33886	44224
RH|P|C32183	1285_C	33886	28419
RH|P|C10646	1285_C	33886	6303
RH|P|C34813	1285_C	33886	7578
RH|P|C38511	1285_C	33886	5397
RH|P|C26730	1285_C	33886	1753
RH|P|C26648	1285_C	33886	11183
RH|P|C39383	1285_C	33886	24924
RH|P|C20927	1285_C	33886	18418
RH|P|C37189	1285_C	33886	8330
RH|P|C39459	1285_C	33886	785
RH|P|C3860	1285_C	33886	8551
RH|P|C1703	1285_C	33886	2593
RH|P|C28263	1285_C	33886	4816
RH|P|C27224	1285_C	33886	3015
RH|P|C25386	1285_C	33886	7012
RH|P|C35212	1285_C	33886	7407
RH|P|C38372	1285_C	33886	7697
RH|P|C22060	1285_C	33886	26173
RH|P|C27500	1285_C	33886	8967
RH|P|C34770	1285_C	33886	7105
RH|P|C2453	1285_C	33886	3356
RH|P|C21054	1285_C	33886	13820
RH|P|C22839	1285_C	33886	1435
RH|P|C15542	1285_C	33886	14936
RH|P|C35732	1285_C	33886	493
RH|P|C10695	1285_C	33886	1619
RH|P|C3868	1285_C	33886	30165
RH|P|C18844	1285_C	33886	9558
RH|P|C16266	1285_C	33886	5407
RH|P|C30739	1285_C	33886	13067
RH|P|C11299	1285_C	33886	4948
RH|P|C21698	1285_C	33886	7992
RH|P|C718	1285_C	33886	43593
RH|P|C41317	1285_C	33886	25882
RH|P|C10739	1285_C	33886	2699
RH|P|C19182	1285_C	33886	8027
RH|P|C3529	1285_C	33886	4757
RH|P|C20801	1285_C	33886	45569
RH|P|C37323	1285_C	33886	8692
RH|P|C9392	1285_C	33886	10683
RH|P|C31626	1285_C	33886	1864
RH|P|C39235	1285_C	33886	1396
RH|P|C14938	1285_C	33886	13743
RH|P|C7390	1285_C	33886	2559
RH|P|C36811	1285_C	33886	14845
RH|P|C11572	1285_C	33886	40623
RH|P|C6770	1285_C	33886	7924
RH|P|C40109	1285_C	33886	4824
RH|P|C16990	1285_C	33886	15158
RH|P|C14985	1285_C	33886	1667
RH|P|C7550	1285_C	33886	351
RH|P|C18495	1285_C	33886	12497
RH|P|C31927	1285_C	33886	3068
RH|P|C28399	1285_C	33886	7915
RH|P|C4931	1285_C	33886	30526
RH|P|C28985	1285_C	33886	30960
RH|P|C41629	1285_C	33886	20759
RH|P|C21683	1285_C	33886	41256
RH|P|C3314	1285_C	33886	15006
RH|P|C20367	1285_C	33886	17019
RH|P|C31037	1285_C	33886	35885
RH|P|C9277	1285_C	33886	3586
RH|P|C24035	1285_C	33886	4005
RH|P|C11056	1285_C	33886	7210
RH|P|C22348	1285_C	33886	10706
RH|P|C25093	1285_C	33886	2569
RH|P|C6007	1285_C	33886	29629
RH|P|C16083	1285_C	33886	5113
RH|P|C18141	1285_C	33886	11985
RH|P|C36032	1285_C	33886	15245
RH|P|C28073	1285_C	33886	20607
RH|P|C20836	1285_C	33886	62251
RH|P|C31386	1285_C	33886	4244
RH|P|C29926	1285_C	33886	11306
RH|P|C31254	1285_C	33886	19020
RH|P|C40413	1285_C	33886	6159
RH|P|C38549	1285_C	33886	9768
RH|P|C29227	1285_C	33886	3572
RH|P|C20531	1285_C	33886	9606
RH|P|C32351	1285_C	33886	16397
RH|P|C22107	1285_C	33886	7351
RH|P|C2015	1285_C	33886	20027
RH|P|C2337	1285_C	33886	52716
RH|P|C24452	1285_C	33886	31823
RH|P|C14418	1285_C	33886	427
RH|P|C12273	1285_C	33886	8248
RH|P|C37432	1285_C	33886	22773
RH|P|C38464	1285_C	33886	5169
RH|P|C36270	1285_C	33886	28196
RH|P|C37917	1285_C	33886	30203
RH|P|C36614	1285_C	33886	9819
RH|P|C19573	1285_C	33886	15755
RH|P|C23162	1285_C	33886	42915
RH|P|C25783	1285_C	33886	3037
RH|P|C40519	1285_C	33886	4022
RH|P|C20884	1285_C	33886	16960
RH|P|C12300	1285_C	33886	11355
RH|P|C35582	1285_C	33886	10735
RH|P|C6973	1285_C	33886	7749
RH|P|C39963	1285_C	33886	23089
RH|P|C32197	1285_C	33886	237
RH|P|C38491	1285_C	33886	11880
RH|P|C14173	1285_C	33886	809
RH|P|C36149	1285_C	33886	24595
RH|P|C17006	1285_C	33886	8534
RH|P|C18454	1285_C	33886	43732
RH|P|C21488	1285_C	33886	4329
RH|P|C35998	1285_C	33886	4617
RH|P|C39675	1285_C	33886	15538
RH|P|C41995	1285_C	33886	8947
RH|P|C10516	1285_C	33886	1407
RH|P|C30573	1285_C	33886	10593
RH|P|C40153	1285_C	33886	488
RH|P|C34691	1285_C	33886	11287
RH|P|C31761	1285_C	33886	933
RH|P|C12801	1285_C	33886	59471
RH|P|C24971	1285_C	33886	22998
RH|P|C28358	1285_C	33886	2124
RH|P|C30905	1285_C	33886	7684
RH|P|C1188	1285_C	33886	12550
RH|P|C35384	1285_C	33886	12137
RH|P|C11464	1285_C	33886	17271
RH|P|C38060	1285_C	33886	11580
RH|P|C24646	1285_C	33886	6019
RH|P|C41252	1285_C	33886	9019
RH|P|C37865	1285_C	33886	150
RH|P|C26012	1285_C	33886	1787
RH|P|C22646	1285_C	33886	14373
RH|P|C32078	1285_C	33886	22464
RH|P|C26439	1285_C	33886	511
RH|P|C31675	1285_C	33886	3406
RH|P|C8636	1285_C	33886	15399
RH|P|C9791	1285_C	33886	2230
RH|P|C13801	1285_C	33886	29978
RH|P|C33995	1285_C	33886	2547
RH|P|C14299	1285_C	33886	28801
RH|P|C15131	1285_C	33886	6455
RH|P|C26492	1285_C	33886	7411
RH|P|C16691	1285_C	33886	16319
RH|P|C41780	1285_C	33886	6229
RH|P|C35594	1285_C	33886	5269
RH|P|C27669	1285_C	33886	3567
RH|P|C39065	1285_C	33886	5983
RH|P|C30891	1285_C	33886	6462
RH|P|C23104	1285_C	33886	3757
RH|P|C7336	1285_C	33886	28722
RH|P|C40559	1285_C	33886	31194
RH|P|C38371	1285_C	33886	1290
RH|P|C31323	1285_C	33886	28260
RH|P|C31397	1285_C	33886	13500
RH|P|C14492	1285_C	33886	3125
RH|P|C18834	1285_C	33886	7148
RH|P|C31000	1285_C	33886	9476
RH|P|C32205	1285_C	33886	4341
RH|P|C33922	1285_C	33886	11137
RH|P|C5796	1285_C	33886	25466
RH|P|C10289	1285_C	33886	23781
RH|P|C37504	1285_C	33886	41114
RH|P|C32552	1285_C	33886	9011
RH|P|C4236	1285_C	33886	3903
RH|P|C33345	1285_C	33886	810
RH|P|C32341	1285_C	33886	4496
RH|P|C6942	1285_C	33886	11025
RH|P|C38743	1285_C	33886	5170
RH|P|C34817	1285_C	33886	2558
RH|P|C28214	1285_C	33886	2255
RH|P|C7970	1285_C	33886	1918
RH|P|C12015	1285_C	33886	46031
RH|P|C16096	1285_C	33886	8896
RH|P|C40906	1285_C	33886	38488
RH|P|C31205	1285_C	33886	19824
RH|P|C13809	1285_C	33886	3469
RH|P|C38942	1285_C	33886	11729
RH|P|C2317	1285_C	33886	16804
RH|P|C23229	1285_C	33886	5463
RH|P|C16143	1285_C	33886	9566
RH|P|C7927	1285_C	33886	402
RH|P|C23675	1285_C	33886	1931
RH|P|C34716	1285_C	33886	413
RH|P|C23039	1285_C	33886	5284
RH|P|C20749	1285_C	33886	4520
RH|P|C13445	1285_C	33886	10036
RH|P|C29674	1287_P	245876	761626
RH|P|C11589	1287_P	245876	2215349
RH|P|C36405	1287_P	245876	751658
RH|P|C21116	1287_P	245876	1122
RH|P|C40098	1287_P	245876	20943
RH|P|C34005	1287_P	245876	1521
RH|P|C22576	1287_P	245876	1113
RH|P|C1231	1287_P	245876	1056
RH|P|C28283	Sample19_247	32644	8276
RH|P|C26516	1139_BL	12916	2540
RH|P|C25415	1139_BL	12916	610218
RH|P|C27550	1139_BL	12916	1451
RH|P|C5332	1139_BL	12916	508360
RH|P|C11453	1139_BL	12916	1189
RH|P|C1272	1139_BL	12916	345957
RH|P|C31235	1139_BL	12916	381762
RH|P|C862	1139_BL	12916	116575
RH|P|C32228	1139_BL	12916	5848
RH|P|C22874	1139_BL	12916	905
RH|P|C6293	1139_BL	12916	461342
RH|P|C37391	1139_BL	12916	87471
RH|P|C37873	1139_BL	12916	150
RH|P|C1833	1139_BL	12916	366652
RH|P|C18543	1139_BL	12916	593
RH|P|C8932	1139_BL	12916	335393
RH|P|C29722	1139_BL	12916	282068
RH|P|C4253	1139_BL	12916	269633
RH|P|C16081	1139_BL	12916	7140
RH|P|C24373	1139_BL	12916	197800
RH|P|C29865	1139_BL	12916	1212
RH|P|C202	1139_BL	12916	16555
